Number,Name,Rx Freq,Tx Freq,Ch Mode,Power,Rx Tone,Tx Tone,Color Code,Rx Group List,Contact,Repeater Slot
,11 VK1RBM Scan,438.8125,431.8125,Digital,High,None,None,1,3,1,1
,11 TG1 WW,438.8125,431.8125,Digital,High,None,None,1,3,2,1
,11 TG5 VK Bcast,438.8125,431.8125,Digital,High,None,None,1,3,3,1
,11 TG8 S1,438.8125,431.8125,Digital,High,None,None,1,3,4,1
,11 TG9 S1 Loc,438.8125,431.8125,Digital,High,None,None,1,3,5,1
,11 TG13 WWE,438.8125,431.8125,Digital,High,None,None,1,3,6,1
,11 TG113 UA E1,438.8125,431.8125,Digital,High,None,None,1,3,9,1
,11 TG123 UA E2,438.8125,431.8125,Digital,High,None,None,1,3,10,1
,11 TG133 +USA,438.8125,431.8125,Digital,High,None,None,1,3,11,1
,11 TG143 +UK,438.8125,431.8125,Digital,High,None,None,1,3,12,1
,11 TG153 SthPac,438.8125,431.8125,Digital,High,None,None,1,3,13,1
,11 TG505 AU,438.8125,431.8125,Digital,High,None,None,1,3,15,1
,11 TG3800 AU+,438.8125,431.8125,Digital,High,None,None,1,3,17,2
,11 TG3801 ACT,438.8125,431.8125,Digital,High,None,None,1,3,18,2
,11 TG3802 NSW,438.8125,431.8125,Digital,High,None,None,1,3,19,2
,11 TG3803 Vic,438.8125,431.8125,Digital,High,None,None,1,3,20,2
,11 TG3804 Qld,438.8125,431.8125,Digital,High,None,None,1,3,21,2
,11 TG3805 SA,438.8125,431.8125,Digital,High,None,None,1,3,22,2
,11 TG3806 WA,438.8125,431.8125,Digital,High,None,None,1,3,23,2
,11 TG3807 Tas,438.8125,431.8125,Digital,High,None,None,1,3,24,2
,11 Ref Discnct,438.8125,431.8125,Digital,High,None,None,1,3,26,1
,11 Rep Status,438.8125,431.8125,Digital,High,None,None,1,3,27,1
,19 VK2RFI Scan,147.175,147.775,Digital,High,None,None,1,3,1,1
,19 TG1 WW,147.175,147.775,Digital,High,None,None,1,3,2,1
,19 TG5 VK Bcast,147.175,147.775,Digital,High,None,None,1,3,3,1
,19 TG8 S1,147.175,147.775,Digital,High,None,None,1,3,4,1
,19 TG9 S1 Loc,147.175,147.775,Digital,High,None,None,1,3,5,1
,19 TG13 WWE,147.175,147.775,Digital,High,None,None,1,3,6,1
,19 TG113 UA E1,147.175,147.775,Digital,High,None,None,1,3,9,1
,19 TG123 UA E2,147.175,147.775,Digital,High,None,None,1,3,10,1
,19 TG133 +USA,147.175,147.775,Digital,High,None,None,1,3,11,1
,19 TG143 +UK,147.175,147.775,Digital,High,None,None,1,3,12,1
,19 TG153 SthPac,147.175,147.775,Digital,High,None,None,1,3,13,1
,19 TG505 AU,147.175,147.775,Digital,High,None,None,1,3,15,1
,19 TG3800 AU+,147.175,147.775,Digital,High,None,None,1,3,17,2
,19 TG3801 ACT,147.175,147.775,Digital,High,None,None,1,3,18,2
,19 TG3802 NSW,147.175,147.775,Digital,High,None,None,1,3,19,2
,19 TG3803 Vic,147.175,147.775,Digital,High,None,None,1,3,20,2
,19 TG3804 Qld,147.175,147.775,Digital,High,None,None,1,3,21,2
,19 TG3805 SA,147.175,147.775,Digital,High,None,None,1,3,22,2
,19 TG3806 WA,147.175,147.775,Digital,High,None,None,1,3,23,2
,19 TG3807 Tas,147.175,147.775,Digital,High,None,None,1,3,24,2
,19 Ref Discnct,147.175,147.775,Digital,High,None,None,1,3,26,1
,19 Rep Status,147.175,147.775,Digital,High,None,None,1,3,27,1
,20 VK2RTH Scan,438.4,431.4,Digital,High,None,None,1,3,1,1
,20 TG1 WW,438.4,431.4,Digital,High,None,None,1,3,2,1
,20 TG5 VK Bcast,438.4,431.4,Digital,High,None,None,1,3,3,1
,20 TG8 S1,438.4,431.4,Digital,High,None,None,1,3,4,1
,20 TG9 S1 Loc,438.4,431.4,Digital,High,None,None,1,3,5,1
,20 TG13 WWE,438.4,431.4,Digital,High,None,None,1,3,6,1
,20 TG113 UA E1,438.4,431.4,Digital,High,None,None,1,3,9,1
,20 TG123 UA E2,438.4,431.4,Digital,High,None,None,1,3,10,1
,20 TG133 +USA,438.4,431.4,Digital,High,None,None,1,3,11,1
,20 TG143 +UK,438.4,431.4,Digital,High,None,None,1,3,12,1
,20 TG153 SthPac,438.4,431.4,Digital,High,None,None,1,3,13,1
,20 TG505 AU,438.4,431.4,Digital,High,None,None,1,3,15,1
,20 TG3800 AU+,438.4,431.4,Digital,High,None,None,1,3,17,2
,20 TG3801 ACT,438.4,431.4,Digital,High,None,None,1,3,18,2
,20 TG3802 NSW,438.4,431.4,Digital,High,None,None,1,3,19,2
,20 TG3803 Vic,438.4,431.4,Digital,High,None,None,1,3,20,2
,20 TG3804 Qld,438.4,431.4,Digital,High,None,None,1,3,21,2
,20 TG3805 SA,438.4,431.4,Digital,High,None,None,1,3,22,2
,20 TG3806 WA,438.4,431.4,Digital,High,None,None,1,3,23,2
,20 TG3807 Tas,438.4,431.4,Digital,High,None,None,1,3,24,2
,20 Ref Discnct,438.4,431.4,Digital,High,None,None,1,3,26,1
,20 Rep Status,438.4,431.4,Digital,High,None,None,1,3,27,1
,21 VK2RGN Scan,438.325,433.325,Digital,High,None,None,1,3,1,1
,21 TG1 WW,438.325,433.325,Digital,High,None,None,1,3,2,1
,21 TG5 VK Bcast,438.325,433.325,Digital,High,None,None,1,3,3,1
,21 TG8 S1,438.325,433.325,Digital,High,None,None,1,3,4,1
,21 TG9 S1 Loc,438.325,433.325,Digital,High,None,None,1,3,5,1
,21 TG13 WWE,438.325,433.325,Digital,High,None,None,1,3,6,1
,10 TG113 UA E1,438.325,433.325,Digital,High,None,None,1,3,9,1
,21 TG123 UA E2,438.325,433.325,Digital,High,None,None,1,3,10,1
,21 TG133 +USA,438.325,433.325,Digital,High,None,None,1,3,11,1
,21 TG143 +UK,438.325,433.325,Digital,High,None,None,1,3,12,1
,21 TG153 SthPac,438.325,433.325,Digital,High,None,None,1,3,13,1
,21 TG505 AU,438.325,433.325,Digital,High,None,None,1,3,15,1
,21 TG3800 AU+,438.325,433.325,Digital,High,None,None,1,3,17,2
,21 TG3801 ACT,438.325,433.325,Digital,High,None,None,1,3,18,2
,21 TG3802 NSW,438.325,433.325,Digital,High,None,None,1,3,19,2
,21 TG3803 Vic,438.325,433.325,Digital,High,None,None,1,3,20,2
,21 TG3804 Qld,438.325,433.325,Digital,High,None,None,1,3,21,2
,21 TG3805 SA,438.325,433.325,Digital,High,None,None,1,3,22,2
,21 TG3806 WA,438.325,433.325,Digital,High,None,None,1,3,23,2
,21 TG3807 Tas,438.325,433.325,Digital,High,None,None,1,3,24,2
,21 Ref Discnct,438.325,433.325,Digital,High,None,None,1,3,26,1
,21 Rep Status,438.325,433.325,Digital,High,None,None,1,3,27,1
,22 VK2RHR Scan,439.9,434.9,Digital,High,None,None,1,3,1,1
,22 TG1 WW,439.9,434.9,Digital,High,None,None,1,3,2,1
,22 TG5 VK Bcast,439.9,434.9,Digital,High,None,None,1,3,3,1
,22 TG8 S1,439.9,434.9,Digital,High,None,None,1,3,4,1
,22 TG9 S1 Loc,439.9,434.9,Digital,High,None,None,1,3,5,1
,22 TG13 WWE,439.9,434.9,Digital,High,None,None,1,3,6,1
,22 TG113 UA E1,439.9,434.9,Digital,High,None,None,1,3,9,1
,22 TG123 UA E2,439.9,434.9,Digital,High,None,None,1,3,10,1
,22 TG133 +USA,439.9,434.9,Digital,High,None,None,1,3,11,1
,22 TG143 +UK,439.9,434.9,Digital,High,None,None,1,3,12,1
,22 TG153 SthPac,439.9,434.9,Digital,High,None,None,1,3,13,1
,22 TG505 AU,439.9,434.9,Digital,High,None,None,1,3,15,1
,22 TG3800 AU+,439.9,434.9,Digital,High,None,None,1,3,17,2
,22 TG3801 ACT,439.9,434.9,Digital,High,None,None,1,3,18,2
,22 TG3802 NSW,439.9,434.9,Digital,High,None,None,1,3,19,2
,22 TG3803 Vic,439.9,434.9,Digital,High,None,None,1,3,20,2
,22 TG3804 Qld,439.9,434.9,Digital,High,None,None,1,3,21,2
,22 TG3805 SA,439.9,434.9,Digital,High,None,None,1,3,22,2
,22 TG3806 WA,439.9,434.9,Digital,High,None,None,1,3,23,2
,22 TG3807 Tas,439.9,434.9,Digital,High,None,None,1,3,24,2
,22 Ref Discnct,439.9,434.9,Digital,High,None,None,1,3,26,1
,22 Rep Status,439.9,434.9,Digital,High,None,None,1,3,27,1
,23 VK2RYS Scan,438.0125,433.0125,Digital,High,None,None,1,3,1,1
,23 TG1 WW,438.0125,433.0125,Digital,High,None,None,1,3,2,1
,23 TG5 VK Bcast,438.0125,433.0125,Digital,High,None,None,1,3,3,1
,23 TG8 S1,438.0125,433.0125,Digital,High,None,None,1,3,4,1
,23 TG9 S1 Loc,438.0125,433.0125,Digital,High,None,None,1,3,5,1
,23 TG13 WWE,438.0125,433.0125,Digital,High,None,None,1,3,6,1
,23 TG113 UA E1,438.0125,433.0125,Digital,High,None,None,1,3,9,1
,23 TG123 UA E2,438.0125,433.0125,Digital,High,None,None,1,3,10,1
